noise_level,signal_strength,l_infinity,mse,detection_rate,grid_saturation
100,0.1,0.1,6.103516e-07,0.0,0.00614013671875
100,0.3,0.3,5.4931643e-06,1.0,0.00614013671875
100,0.5,0.5,1.5258789e-05,1.0,0.00614013671875
100,0.7,0.7,2.9907224e-05,1.0,0.00614013671875
100,0.9,0.9,4.9438473e-05,1.0,0.00614013671875
1000,0.1,0.1,6.103516e-07,0.0,0.059130859375
1000,0.3,0.3,5.4931643e-06,1.0,0.059130859375
1000,0.5,0.5,1.5258789e-05,1.0,0.059130859375
1000,0.7,0.7,2.9907224e-05,1.0,0.059130859375
1000,0.9,0.9,4.9438473e-05,1.0,0.059130859375
10000,0.1,0.060000002,3.6621094e-07,0.0,0.456787109375
10000,0.3,0.2743383,4.656649e-06,1.0,0.456787109375
10000,0.5,0.4596362,1.3045072e-05,1.0,0.456787109375
10000,0.7,0.65813583,2.6598727e-05,1.0,0.456787109375
10000,0.9,0.85768574,4.5066303e-05,1.0,0.456787109375
50000,0.1,0.0035116686,3.763372e-09,0.0,0.95283203125
50000,0.3,0.18094638,2.039182e-06,0.4,0.95283203125
50000,0.5,0.36828628,8.285726e-06,1.0,0.95283203125
50000,0.7,0.5867459,2.1081807e-05,1.0,0.95283203125
50000,0.9,0.7918628,3.8300095e-05,1.0,0.95283203125
